Year,All
1950,181692407.1
1951,165533366.6
1952,162564880.2
1953,199857053.1
1954,206451678.9
1955,182172825.9
1956,192835019.2
1957,256323154.6
1958,229344736.7
1959,312107996.7
1960,288793467.6
1961,270805835.7
1962,394752932.7
1963,368578087.1
1964,390589700.7
1965,394530929.1
1966,454190694.1
1967,554250010.2
1968,710893106.9
1969,629011933.9
1970,387871469.6
1971,458649602.1
1972,451695836.9
1973,458349694.2
1974,544582532.1
1975,499198811.5
1976,388246855
1977,464029876.4
1978,782901785.1
1979,715485809.9
1980,625491541.3
1981,641937632.2
1982,636447922.5
1983,784999157.7
1984,714772667.4
1985,828440130.7
1986,1163699055
1987,689733500.1
1988,1183226131
1989,919119953.9
1990,888623717.8
1991,1301956269
1992,919856339.8
1993,1069574651
1994,1154159587
1995,1177612945
1996,1197408727
1997,1452562084
1998,1656333162
1999,1621378898
2000,2015654476
2001,1924863190
2002,1663243260
2003,2307952178
2004,2015526559
2005,2870874083
2006,1763020889
2007,1946719127
2008,2015921178
2009,2104875788
2010,1915208537
2011,2041606294
2012,2284461339
2013,2423260837
2014,2044668922
2015,2430672924
